City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
328,Cody,US,44.53,-109.06,79.0,19,1,6.93,clear sky,0.0,0
329,Vallenar,CL,-28.57,-70.76,73.9,18,0,6.15,clear sky,0.0,0
330,Vila Franca Do Campo,PT,37.72,-25.43,68.0,72,75,8.05,broken clouds,0.0,0
331,Safaga,EG,26.73,33.94,89.6,31,0,3.36,clear sky,0.0,0
332,Lompoc,US,34.64,-120.46,66.0,72,8,14.99,clear sky,0.0,0
333,Nelson Bay,AU,-32.72,152.15,45.0,100,75,4.7,broken clouds,0.0,0
334,Srednekolymsk,RU,67.45,153.68,61.61,64,100,9.53,overcast clouds,0.0,0
335,Wanaka,NZ,-44.7,169.15,34.0,82,51,1.99,broken clouds,0.0,0
336,Kununurra,AU,-15.77,128.73,51.8,32,24,8.28,few clouds,0.0,0
337,Haverfordwest,GB,51.8,-4.97,60.01,100,100,20.8,light rain,0.37,0
338,Bugama,NG,4.73,6.86,76.1,91,56,5.01,light rain,0.93,0
339,Inuvik,CA,68.35,-133.72,48.2,70,40,3.36,scattered clouds,0.0,0
340,Toora-Khem,RU,52.47,96.11,48.81,91,60,3.69,broken clouds,0.0,0
341,Mackenzie,CA,55.3,-123.17,64.4,55,75,9.17,broken clouds,0.0,0
342,Sitka,US,57.05,-135.33,57.2,82,75,5.82,broken clouds,0.0,0
343,Nalut,LY,30.33,10.85,78.6,23,0,18.1,clear sky,0.0,0
344,Eyl,SO,7.98,49.82,81.16,68,35,21.85,scattered clouds,0.0,0
345,Hofn,IS,64.25,-15.21,55.4,82,40,1.12,shower rain,0.0,0
346,Skjervoy,NO,70.03,20.97,47.79,82,11,2.19,few clouds,0.0,0
347,Biak,ID,-0.91,122.88,76.53,84,94,5.53,moderate rain,1.13,0
348,Nizhniy Odes,RU,63.64,54.86,73.02,74,52,5.57,broken clouds,0.0,0
349,Bagdarin,RU,54.43,113.6,56.01,90,4,2.13,clear sky,0.0,0
350,Disna,BY,55.57,28.2,53.85,90,100,5.28,overcast clouds,0.0,0
351,Grevesmuhlen,DE,53.87,11.18,57.0,78,77,4.0,broken clouds,0.0,0
352,Zoutleeuw,BE,50.83,5.1,62.01,100,100,1.12,overcast clouds,0.0,0
353,Mayumba,GA,-3.43,10.66,71.82,86,0,5.21,clear sky,0.0,0
354,Roebourne,AU,-20.78,117.13,66.0,26,0,10.49,clear sky,0.0,0
355,Cururupu,BR,-1.83,-44.87,78.03,80,3,3.74,clear sky,0.0,0
356,Cabatuan,PH,10.88,122.49,76.93,84,100,2.91,overcast clouds,0.0,0
357,Taganak,PH,6.08,118.3,78.8,94,20,5.23,few clouds,0.0,0
358,Okhotsk,RU,59.38,143.3,52.99,85,0,0.98,clear sky,0.0,0
359,Tamandare,BR,-8.76,-35.1,76.26,83,1,5.57,clear sky,0.0,0
360,Kuytun,RU,54.34,101.5,53.62,87,33,6.38,scattered clouds,0.0,0
361,Saint Marys,US,30.73,-81.55,89.01,84,75,11.41,heavy intensity rain,6.1,0
362,Carnarvon,AU,-24.87,113.63,55.4,76,0,9.17,clear sky,0.0,0
363,Valparaiso,CL,-33.04,-71.63,62.6,62,34,3.36,scattered clouds,0.0,0
364,Kundiawa,PG,-6.02,144.97,58.68,77,17,2.91,few clouds,0.0,0
365,High River,CA,50.58,-113.87,64.99,62,95,4.0,overcast clouds,0.0,0
366,Yemelyanovo,RU,56.17,92.68,66.2,68,92,8.95,overcast clouds,0.0,0
367,Te Anau,NZ,-45.42,167.72,36.45,88,61,2.28,broken clouds,0.0,0
368,Kefalos,GR,36.75,26.96,80.6,61,0,17.22,clear sky,0.0,0
369,Liberia,LR,6.5,-9.5,71.94,98,100,3.49,overcast clouds,0.0,0
370,Tuatapere,NZ,-46.13,167.68,39.0,83,94,3.0,overcast clouds,0.0,0
371,Ormara,PK,25.21,64.64,88.02,66,100,22.28,light rain,0.28,0
372,Bardiyah,LY,31.76,25.09,74.39,92,0,8.16,clear sky,0.0,0
